datetime,stock_code,exchange_code,expiry_date,strike_price,option_right,open,high,low,close,volume,open_interest
03-01-2024 10:45,NIFTY,NFO,04-01-2024,22250,CE,2.25,2.35,2.2,2.25,292850,2132250
03-01-2024 10:50,NIFTY,NFO,04-01-2024,22250,CE,2.25,2.3,2.1,2.15,193850,2134400
03-01-2024 10:55,NIFTY,NFO,04-01-2024,22250,CE,2.1,2.2,2.05,2.1,106200,2135100
03-01-2024 11:00,NIFTY,NFO,04-01-2024,22250,CE,2.1,2.1,1.95,1.95,157800,2112650
03-01-2024 11:05,NIFTY,NFO,04-01-2024,22250,CE,1.95,2,1.9,1.9,103000,2091850
03-01-2024 11:10,NIFTY,NFO,04-01-2024,22250,CE,1.9,1.95,1.7,1.75,492250,2040750
03-01-2024 11:15,NIFTY,NFO,04-01-2024,22250,CE,1.75,1.75,1.65,1.65,474900,2021000
03-01-2024 11:20,NIFTY,NFO,04-01-2024,22250,CE,1.65,1.7,1.55,1.65,912200,1966550
03-01-2024 11:25,NIFTY,NFO,04-01-2024,22250,CE,1.65,1.8,1.65,1.75,179050,1979150
03-01-2024 11:30,NIFTY,NFO,04-01-2024,22250,CE,1.75,1.9,1.75,1.85,500650,1984450
03-01-2024 11:35,NIFTY,NFO,04-01-2024,22250,CE,1.85,1.85,1.8,1.8,53300,1948200
03-01-2024 11:40,NIFTY,NFO,04-01-2024,22250,CE,1.8,1.8,1.7,1.75,129400,1931100
03-01-2024 11:45,NIFTY,NFO,04-01-2024,22250,CE,1.75,1.75,1.55,1.55,326150,1934950
03-01-2024 11:50,NIFTY,NFO,04-01-2024,22250,CE,1.6,1.6,1.45,1.5,283150,1967000
03-01-2024 11:55,NIFTY,NFO,04-01-2024,22250,CE,1.5,1.6,1.5,1.5,105800,1977850
03-01-2024 12:00,NIFTY,NFO,04-01-2024,22250,CE,1.5,1.6,1.5,1.6,70650,1970900
03-01-2024 12:05,NIFTY,NFO,04-01-2024,22250,CE,1.6,1.6,1.55,1.55,105950,1941350
03-01-2024 12:10,NIFTY,NFO,04-01-2024,22250,CE,1.55,1.75,1.55,1.7,383750,2048950
03-01-2024 12:15,NIFTY,NFO,04-01-2024,22250,CE,1.7,1.75,1.55,1.6,181950,2035450
03-01-2024 12:20,NIFTY,NFO,04-01-2024,22250,CE,1.55,2,1.55,1.75,399650,2043150
03-01-2024 12:25,NIFTY,NFO,04-01-2024,22250,CE,1.75,2.05,1.7,1.75,865600,2113550
03-01-2024 12:30,NIFTY,NFO,04-01-2024,22250,CE,1.75,1.85,1.65,1.7,430200,2157800
03-01-2024 12:35,NIFTY,NFO,04-01-2024,22250,CE,1.7,1.85,1.6,1.6,227950,2105100
03-01-2024 12:40,NIFTY,NFO,04-01-2024,22250,CE,1.6,1.7,1.55,1.65,178500,2096500
03-01-2024 12:45,NIFTY,NFO,04-01-2024,22250,CE,1.65,1.7,1.6,1.6,151950,2096850
03-01-2024 12:50,NIFTY,NFO,04-01-2024,22250,CE,1.6,1.65,1.5,1.5,149850,2105650
03-01-2024 12:55,NIFTY,NFO,04-01-2024,22250,CE,1.5,1.5,1.4,1.45,173500,2099500
03-01-2024 13:00,NIFTY,NFO,04-01-2024,22250,CE,1.45,1.5,1.45,1.45,59900,2104350
03-01-2024 13:05,NIFTY,NFO,04-01-2024,22250,CE,1.45,1.5,1.45,1.45,51100,2078950
03-01-2024 13:10,NIFTY,NFO,04-01-2024,22250,CE,1.45,1.6,1.45,1.6,106600,2063050
03-01-2024 13:15,NIFTY,NFO,04-01-2024,22250,CE,1.6,1.6,1.5,1.55,30450,2062700
03-01-2024 13:20,NIFTY,NFO,04-01-2024,22250,CE,1.55,1.55,1.5,1.5,34400,2061250
03-01-2024 13:25,NIFTY,NFO,04-01-2024,22250,CE,1.5,1.55,1.5,1.5,115200,2045350
03-01-2024 13:30,NIFTY,NFO,04-01-2024,22250,CE,1.5,1.55,1.45,1.5,68650,2052250
03-01-2024 13:35,NIFTY,NFO,04-01-2024,22250,CE,1.5,1.5,1.4,1.45,194050,2004800
03-01-2024 13:40,NIFTY,NFO,04-01-2024,22250,CE,1.45,1.45,1.35,1.35,59300,1990850
03-01-2024 13:45,NIFTY,NFO,04-01-2024,22250,CE,1.35,1.4,1.25,1.25,130000,2010700
03-01-2024 13:50,NIFTY,NFO,04-01-2024,22250,CE,1.25,1.3,1.25,1.25,27200,1995450
03-01-2024 13:55,NIFTY,NFO,04-01-2024,22250,CE,1.25,1.4,1.25,1.3,235150,1994050
