datetime,stock_code,exchange_code,open,high,low,close,volume
2024-01-01 10:15:00,NIFTY,NSE,21709.6,21719.6,21704.9,21712.25,0
2024-01-01 10:20:00,NIFTY,NSE,21713.1,21716.65,21695.3,21697.65,0
2024-01-01 10:25:00,NIFTY,NSE,21697.15,21714.0,21697.15,21712.5,0
2024-01-01 10:30:00,NIFTY,NSE,21711.4,21719.05,21708.35,21718.5,0
2024-01-01 10:35:00,NIFTY,NSE,21718.75,21723.8,21712.85,21723.75,0
2024-01-01 10:40:00,NIFTY,NSE,21724.15,21730.95,21721.2,21726.75,0
2024-01-01 10:45:00,NIFTY,NSE,21728.45,21738.75,21723.5,21737.8,0
2024-01-01 10:50:00,NIFTY,NSE,21738.3,21741.9,21732.2,21736.95,0
2024-01-01 10:55:00,NIFTY,NSE,21737.2,21739.75,21733.15,21736.15,0
2024-01-01 11:00:00,NIFTY,NSE,21736.75,21742.5,21725.7,21729.55,0
2024-01-01 11:05:00,NIFTY,NSE,21729.4,21739.65,21727.85,21737.3,0
2024-01-01 11:10:00,NIFTY,NSE,21737.15,21742.2,21732.25,21741.25,0
2024-01-01 11:15:00,NIFTY,NSE,21740.95,21746.65,21731.6,21742.1,0
2024-01-01 11:20:00,NIFTY,NSE,21742.05,21745.05,21734.45,21737.55,0
2024-01-01 11:25:00,NIFTY,NSE,21737.5,21746.7,21736.85,21745.85,0
2024-01-01 11:30:00,NIFTY,NSE,21747.05,21748.25,21735.0,21735.55,0
2024-01-01 11:35:00,NIFTY,NSE,21735.3,21737.75,21728.8,21734.15,0
2024-01-01 11:40:00,NIFTY,NSE,21732.45,21740.8,21729.5,21731.25,0
2024-01-01 11:45:00,NIFTY,NSE,21731.1,21732.85,21727.3,21729.8,0
2024-01-01 11:50:00,NIFTY,NSE,21729.75,21740.8,21728.3,21736.55,0
2024-01-01 11:55:00,NIFTY,NSE,21737.45,21737.9,21730.3,21732.7,0
2024-01-01 12:00:00,NIFTY,NSE,21733.05,21734.45,21720.85,21723.95,0
2024-01-01 12:05:00,NIFTY,NSE,21723.15,21730.05,21719.5,21728.8,0
2024-01-01 12:10:00,NIFTY,NSE,21729.0,21743.85,21728.35,21742.5,0
2024-01-01 12:15:00,NIFTY,NSE,21741.15,21746.0,21726.9,21727.15,0
2024-01-01 12:20:00,NIFTY,NSE,21727.95,21728.5,21719.05,21720.6,0
2024-01-01 12:25:00,NIFTY,NSE,21720.35,21723.05,21716.1,21717.15,0
2024-01-01 12:30:00,NIFTY,NSE,21717.75,21726.85,21711.3,21725.95,0
2024-01-01 12:35:00,NIFTY,NSE,21726.6,21732.7,21723.75,21730.4,0
2024-01-01 12:40:00,NIFTY,NSE,21730.45,21735.65,21729.1,21735.2,0
2024-01-01 12:45:00,NIFTY,NSE,21735.55,21748.5,21732.55,21746.7,0
2024-01-01 12:50:00,NIFTY,NSE,21746.55,21750.5,21739.65,21746.8,0
2024-01-01 12:55:00,NIFTY,NSE,21746.25,21747.4,21737.5,21741.35,0
2024-01-01 13:00:00,NIFTY,NSE,21741.75,21745.95,21737.1,21741.7,0
2024-01-01 13:05:00,NIFTY,NSE,21742.05,21745.5,21736.9,21738.9,0
2024-01-01 13:10:00,NIFTY,NSE,21739.45,21741.1,21733.3,21737.95,0
2024-01-01 13:15:00,NIFTY,NSE,21737.75,21745.4,21736.75,21740.0,0
2024-01-01 13:20:00,NIFTY,NSE,21739.45,21743.95,21737.75,21739.2,0
2024-01-01 13:25:00,NIFTY,NSE,21739.15,21753.0,21738.65,21751.95,0
2024-01-01 13:30:00,NIFTY,NSE,21752.5,21755.5,21744.5,21746.25,0
2024-01-01 13:35:00,NIFTY,NSE,21746.7,21750.9,21744.35,21746.85,0
2024-01-01 13:40:00,NIFTY,NSE,21746.45,21750.55,21741.2,21742.7,0
2024-01-01 13:45:00,NIFTY,NSE,21744.15,21755.7,21742.55,21754.8,0
2024-01-01 13:50:00,NIFTY,NSE,21756.15,21762.55,21749.8,21755.15,0
2024-01-01 13:55:00,NIFTY,NSE,21754.4,21769.95,21750.75,21764.85,0
2024-01-01 14:00:00,NIFTY,NSE,21763.9,21783.8,21763.9,21779.45,0
2024-01-01 14:05:00,NIFTY,NSE,21778.9,21788.8,21775.45,21779.7,0
2024-01-01 14:10:00,NIFTY,NSE,21780.15,21793.7,21775.4,21792.65,0
2024-01-01 14:15:00,NIFTY,NSE,21792.2,21800.95,21788.75,21792.0,0
2024-01-01 14:20:00,NIFTY,NSE,21793.45,21798.55,21786.0,21792.2,0
2024-01-01 14:25:00,NIFTY,NSE,21791.75,21796.7,21785.75,21794.25,0
2024-01-01 14:30:00,NIFTY,NSE,21794.0,21800.1,21789.9,21795.2,0
2024-01-01 14:35:00,NIFTY,NSE,21794.8,21800.3,21787.5,21788.85,0
2024-01-01 14:40:00,NIFTY,NSE,21788.2,21818.95,21788.15,21817.3,0
2024-01-01 14:45:00,NIFTY,NSE,21816.3,21827.05,21811.0,21826.7,0
2024-01-01 14:50:00,NIFTY,NSE,21827.05,21832.4,21819.9,21819.9,0
2024-01-01 14:55:00,NIFTY,NSE,21820.0,21824.1,21817.2,21822.85,0
2024-01-01 15:00:00,NIFTY,NSE,21823.05,21831.35,21797.75,21801.75,0
2024-01-01 15:05:00,NIFTY,NSE,21803.0,21803.8,21754.15,21755.55,0
2024-01-01 15:10:00,NIFTY,NSE,21754.4,21757.45,21719.9,21725.3,0
2024-01-01 15:15:00,NIFTY,NSE,21725.95,21736.25,21720.55,21724.85,0
2024-01-01 15:20:00,NIFTY,NSE,21725.3,21726.5,21682.75,21684.9,0
2024-01-01 15:25:00,NIFTY,NSE,21684.05,21692.0,21682.8,21689.45,0
2024-01-01 15:30:00,NIFTY,NSE,21685.35,21741.9,21685.35,21741.9,0
2024-01-01 15:35:00,NIFTY,NSE,21741.9,21741.9,21741.9,21741.9,0
2024-01-02 09:05:00,NIFTY,NSE,21751.35,21751.35,21751.35,21751.35,0
2024-01-02 09:10:00,NIFTY,NSE,21751.35,21751.35,21751.35,21751.35,0
2024-01-02 09:15:00,NIFTY,NSE,21751.35,21752.45,21702.95,21722.95,0
2024-01-02 09:20:00,NIFTY,NSE,21722.45,21726.6,21705.4,21705.4,0
2024-01-02 09:25:00,NIFTY,NSE,21705.9,21733.2,21699.6,21731.9,0
2024-01-02 09:30:00,NIFTY,NSE,21730.7,21733.25,21713.2,21721.4,0
2024-01-02 09:35:00,NIFTY,NSE,21721.3,21735.15,21712.25,21735.0,0
2024-01-02 09:40:00,NIFTY,NSE,21734.3,21743.8,21731.25,21736.9,0
2024-01-02 09:45:00,NIFTY,NSE,21738.4,21739.45,21726.95,21735.85,0
2024-01-02 09:50:00,NIFTY,NSE,21737.15,21737.15,21712.0,21712.0,0
2024-01-02 09:55:00,NIFTY,NSE,21711.9,21713.15,21629.8,21636.8,0
2024-01-02 10:00:00,NIFTY,NSE,21636.05,21660.2,21627.4,21650.9,0
2024-01-02 10:05:00,NIFTY,NSE,21651.85,21676.55,21651.85,21663.95,0
2024-01-02 10:10:00,NIFTY,NSE,21663.65,21666.75,21646.85,21661.75,0
2024-01-02 10:15:00,NIFTY,NSE,21660.9,21668.75,21652.85,21657.25,0
2024-01-02 10:20:00,NIFTY,NSE,21656.65,21662.2,21626.0,21626.0,0
2024-01-02 10:25:00,NIFTY,NSE,21625.4,21625.95,21608.45,21608.65,0
2024-01-02 10:30:00,NIFTY,NSE,21609.45,21631.95,21606.1,21609.3,0
2024-01-02 10:35:00,NIFTY,NSE,21608.4,21609.0,21567.85,21568.6,0
2024-01-02 10:40:00,NIFTY,NSE,21567.35,21594.95,21557.5,21590.1,0
2024-01-02 10:45:00,NIFTY,NSE,21590.95,21610.75,21582.0,21609.85,0
2024-01-02 10:50:00,NIFTY,NSE,21610.35,21615.25,21596.6,21613.0,0
2024-01-02 10:55:00,NIFTY,NSE,21613.3,21621.1,21596.5,21615.95,0
2024-01-02 11:00:00,NIFTY,NSE,21616.3,21620.5,21602.05,21605.75,0
2024-01-02 11:05:00,NIFTY,NSE,21607.15,21607.15,21590.6,21598.85,0
